车辆编号,车型,货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
1,1,35,标准件,365,40,120,30,40,60,12
1,1,90,标准件,0,35,100,25,35,50,8
1,1,265,定向件,365,80,120,40,40,60,18
1,1,141,标准件,0,70,100,25,35,50,8
1,1,176,标准件,175,80,100,25,35,50,8
1,1,58,标准件,315,75,120,30,40,60,12
1,1,12,标准件,25,80,120,30,40,60,12
1,1,297,定向件,210,170,120,40,40,60,18
1,1,120,标准件,0,105,100,25,35,50,8
1,1,67,标准件,175,115,120,30,40,60,12
1,1,288,定向件,250,170,120,40,40,60,18
1,1,62,标准件,25,120,120,30,40,60,12
1,1,88,标准件,395,125,100,25,35,50,8
1,1,94,标准件,0,140,100,25,35,50,8
1,1,5,标准件,135,130,120,30,40,60,12
1,1,99,标准件,395,160,100,25,35,50,8
1,1,154,标准件,0,175,100,25,35,50,8
1,1,44,标准件,175,155,120,30,40,60,12
1,1,81,标准件,290,50,110,25,35,50,8
1,1,137,标准件,290,85,110,25,35,50,8
1,1,165,标准件,365,170,110,25,35,50,8
1,1,21,标准件,135,170,120,30,40,60,12
1,1,53,标准件,370,120,160,30,60,40,12
1,1,52,标准件,210,110,170,30,60,40,12
1,1,177,标准件,395,40,120,25,35,50,8
1,1,10,标准件,240,110,170,30,60,40,12
1,1,89,标准件,0,0,150,25,35,50,8
1,1,17,标准件,135,180,0,40,30,60,12
1,1,56,标准件,135,180,60,40,30,60,12
1,1,179,标准件,315,0,150,25,35,50,8
1,1,123,标准件,340,0,150,25,35,50,8
1,1,132,标准件,0,35,150,25,35,50,8
1,1,60,标准件,0,175,150,40,30,60,12
1,1,166,标准件,0,70,150,25,35,50,8
1,1,131,标准件,175,80,150,25,35,50,8
1,1,155,标准件,0,105,150,25,35,50,8
1,1,178,标准件,0,140,150,25,35,50,8
1,1,174,标准件,40,175,150,25,35,50,8
1,1,0,标准件,65,175,150,40,30,60,12
1,1,135,标准件,105,175,150,25,35,50,8
1,1,113,标准件,290,50,160,25,35,50,8
1,1,119,标准件,290,85,160,25,35,50,8
1,1,41,标准件,145,0,180,40,60,30,12
1,1,66,标准件,365,0,180,40,60,30,12
1,1,93,标准件,365,120,120,25,50,35,8
1,1,15,标准件,315,35,180,40,60,30,12
1,1,126,标准件,275,0,180,25,50,35,8
1,1,104,标准件,25,40,180,25,50,35,8
1,1,170,标准件,145,60,180,25,50,35,8
1,1,98,标准件,365,60,180,25,50,35,8
1,1,26,标准件,135,130,180,40,60,30,12
1,1,122,标准件,390,60,180,25,50,35,8
1,1,79,标准件,290,180,160,60,30,40,12
1,1,151,标准件,25,90,180,25,50,35,8
1,1,46,标准件,350,180,160,60,30,40,12
1,1,128,标准件,175,115,180,25,50,35,8
1,1,37,标准件,75,0,180,60,40,30,12
1,1,116,标准件,315,95,180,50,25,35,8
1,1,161,标准件,210,170,180,50,25,35,8
2,1,198,易碎件,0,0,0,40,50,70,15
2,1,191,易碎件,40,0,0,40,50,70,15
2,1,193,易碎件,80,0,0,40,50,70,15
2,1,188,易碎件,120,0,0,40,50,70,15
2,1,183,易碎件,160,0,0,40,50,70,15
2,1,185,易碎件,200,0,0,40,50,70,15
2,1,203,易碎件,240,0,0,40,50,70,15
2,1,222,定向件,280,0,0,80,60,50,25
2,1,221,定向件,0,50,0,80,60,50,25
2,1,205,易碎件,360,0,0,40,50,70,15
2,1,186,易碎件,80,50,0,40,50,70,15
2,1,242,定向件,120,50,0,80,60,50,25
2,1,209,易碎件,200,50,0,40,50,70,15
2,1,226,定向件,280,60,0,80,60,50,25
2,1,211,定向件,200,100,0,80,60,50,25
2,1,225,定向件,0,110,0,80,60,50,25
2,1,237,定向件,80,110,0,80,60,50,25
2,1,187,易碎件,240,50,0,40,50,70,15
2,1,257,定向件,360,50,0,40,40,60,18
2,1,261,定向件,360,90,0,40,40,60,18
2,1,235,定向件,280,120,0,80,60,50,25
2,1,271,定向件,160,110,0,40,40,60,18
2,1,231,定向件,280,0,50,80,60,50,25
2,1,292,定向件,360,130,0,40,40,60,18
2,1,289,定向件,160,150,0,40,40,60,18
2,1,280,定向件,200,160,0,40,40,60,18
2,1,217,定向件,0,50,50,80,60,50,25
2,1,268,定向件,240,160,0,40,40,60,18
2,1,194,易碎件,0,170,0,50,40,70,15
2,1,248,定向件,120,50,50,80,60,50,25
2,1,234,定向件,280,60,50,80,60,50,25
2,1,259,定向件,50,170,0,40,40,60,18
2,1,181,易碎件,90,170,0,50,40,70,15
2,1,202,易碎件,360,170,0,50,40,70,15
2,1,282,定向件,200,100,50,40,40,60,18
2,1,240,定向件,0,110,50,80,60,50,25
2,1,270,定向件,240,100,50,40,40,60,18
2,1,283,定向件,80,110,50,40,40,60,18
2,1,263,定向件,120,110,50,40,40,60,18
2,1,253,定向件,280,120,50,40,40,60,18
2,1,291,定向件,320,120,50,40,40,60,18
2,1,224,定向件,160,150,60,80,60,50,25
2,1,238,定向件,280,0,100,80,60,50,25
2,1,295,定向件,280,160,50,40,40,60,18
2,1,260,定向件,320,160,50,40,40,60,18
2,1,284,定向件,360,50,60,40,40,60,18
2,1,230,定向件,0,50,100,80,60,50,25
2,1,275,定向件,360,90,60,40,40,60,18
2,1,264,定向件,160,110,60,40,40,60,18
2,1,227,定向件,80,50,100,80,60,50,25
2,1,212,定向件,280,60,100,80,60,50,25
2,1,210,定向件,0,110,100,80,60,50,25
2,1,285,定向件,360,130,60,40,40,60,18
2,1,220,定向件,200,100,110,80,60,50,25
2,1,29,标准件,240,160,60,30,40,60,12
2,1,4,标准件,50,170,60,30,40,60,12
2,1,34,标准件,360,0,100,30,40,60,12
2,1,49,标准件,390,0,100,30,40,60,12
2,1,143,标准件,160,50,100,25,35,50,8
2,1,103,标准件,185,50,100,25,35,50,8
2,1,241,定向件,80,110,110,80,60,50,25
2,1,121,标准件,210,50,100,25,35,50,8
2,1,247,定向件,280,120,110,80,60,50,25
2,1,69,标准件,235,50,100,30,40,60,12
2,1,169,标准件,0,170,100,25,35,50,8
2,1,32,标准件,160,150,110,30,40,60,12
2,1,51,标准件,200,160,110,30,40,60,12
2,1,168,标准件,25,170,100,25,35,50,8
2,1,105,标准件,80,170,110,25,35,50,8
2,1,256,定向件,360,50,120,40,40,60,18
2,1,114,标准件,105,170,110,25,35,50,8
2,1,100,标准件,130,170,110,25,35,50,8
2,1,72,标准件,360,90,120,30,40,60,12
2,1,33,标准件,390,90,120,30,40,60,12
2,1,3,标准件,160,110,120,30,40,60,12
2,1,91,标准件,360,130,120,25,35,50,8
2,1,134,标准件,385,130,120,25,35,50,8
2,1,65,标准件,240,160,120,30,40,60,12
2,1,130,标准件,360,165,120,25,35,50,8
2,1,279,定向件,280,0,150,40,40,60,18
2,1,20,标准件,385,165,120,30,40,60,12
2,1,244,定向件,280,40,150,80,60,50,25
2,1,146,标准件,50,170,120,25,35,50,8
2,1,158,标准件,320,0,150,25,35,50,8
2,1,107,标准件,0,50,150,25,35,50,8
2,1,110,标准件,25,50,150,25,35,50,8
2,1,218,定向件,50,50,150,80,60,50,25
2,1,8,标准件,130,50,150,30,40,60,12
2,1,127,标准件,160,50,150,25,35,50,8
2,1,223,定向件,0,110,150,80,60,50,25
2,1,173,标准件,185,50,150,25,35,50,8
2,1,144,标准件,210,50,150,25,35,50,8
2,1,61,标准件,0,170,150,30,40,60,12
2,1,28,标准件,235,50,160,30,60,40,12
2,1,140,标准件,360,0,160,25,35,50,8
2,1,213,定向件,80,110,160,80,60,50,25
2,1,243,定向件,280,120,160,80,60,50,25
2,1,138,标准件,385,0,160,25,35,50,8
2,1,25,标准件,200,100,160,30,60,40,12
2,1,1,标准件,160,150,170,30,60,40,12
3,1,196,易碎件,0,0,0,40,50,70,15
3,1,200,易碎件,40,0,0,40,50,70,15
3,1,190,易碎件,80,0,0,40,50,70,15
3,1,207,易碎件,120,0,0,40,50,70,15
3,1,192,易碎件,160,0,0,40,50,70,15
3,1,229,定向件,200,0,0,80,60,50,25
3,1,232,定向件,280,0,0,80,60,50,25
# 汇总:
# 车辆1 (车型1): 空间利用率 76.81%, 载重利用率 39.00%
# 车辆2 (车型1): 空间利用率 65.20%, 载重利用率 27.42%
# 车辆3 (车型1): 空间利用率 6.08%, 载重利用率 2.08%
# 总车辆: 3 (车型1:3, 车型2:0)
# 总成本: 1350.00 元, 总件数: 300/300
