货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
146,标准件,0,140,0,25,35,50,8
118,标准件,0,175,0,25,35,50,8
18,标准件,95,40,60,30,40,60,12
99,标准件,95,175,0,25,35,50,8
259,定向件,315,40,60,40,40,60,18
152,标准件,120,175,0,25,35,50,8
277,定向件,25,80,60,40,40,60,18
216,定向件,235,0,100,80,60,50,25
286,定向件,175,80,60,40,40,60,18
274,定向件,315,80,60,40,40,60,18
168,标准件,145,175,0,25,35,50,8
229,定向件,235,60,100,80,60,50,25
37,标准件,125,40,60,30,40,60,12
101,标准件,0,0,50,25,35,50,8
251,定向件,25,170,60,40,40,60,18
246,定向件,95,115,100,80,60,50,25
33,标准件,200,40,60,30,40,60,12
74,标准件,65,80,60,30,40,60,12
231,定向件,175,120,100,80,60,50,25
161,标准件,65,0,50,25,35,50,8
45,标准件,65,120,60,30,40,60,12
17,标准件,65,160,60,30,40,60,12
237,定向件,255,120,100,80,60,50,25
141,标准件,0,35,50,25,35,50,8
120,标准件,395,40,50,25,35,50,8
92,标准件,0,70,50,25,35,50,8
238,定向件,335,120,100,80,60,50,25
107,标准件,395,75,50,25,35,50,8
131,标准件,0,105,50,25,35,50,8
5,标准件,25,0,120,30,40,60,12
241,定向件,55,0,120,80,60,50,25
153,标准件,0,140,50,25,35,50,8
253,定向件,135,0,120,40,40,60,18
1,标准件,175,0,120,30,40,60,12
125,标准件,0,175,50,25,35,50,8
90,标准件,95,175,50,25,35,50,8
85,标准件,120,175,50,25,35,50,8
262,定向件,315,0,120,40,40,60,18
240,定向件,135,40,120,80,60,50,25
296,定向件,355,0,120,40,40,60,18
104,标准件,145,175,50,25,35,50,8
106,标准件,395,0,60,25,35,50,8
116,标准件,95,80,60,25,35,50,8
124,标准件,120,80,60,25,35,50,8
258,定向件,315,40,120,40,40,60,18
292,定向件,55,60,120,40,40,60,18
51,标准件,205,0,120,30,40,60,12
213,定向件,235,0,150,80,60,50,25
163,标准件,145,80,60,25,35,50,8
252,定向件,95,60,120,40,40,60,18
105,标准件,0,0,100,25,35,50,8
280,定向件,315,80,120,40,40,60,18
140,标准件,0,35,100,25,35,50,8
147,标准件,395,40,100,25,35,50,8
127,标准件,0,70,100,25,35,50,8
248,定向件,235,60,150,80,60,50,25
41,标准件,25,40,120,30,40,60,12
217,定向件,95,115,150,80,60,50,25
211,定向件,175,120,150,80,60,50,25
271,定向件,55,100,120,40,40,60,18
19,标准件,355,40,120,30,40,60,12
22,标准件,25,80,120,30,40,60,12
215,定向件,255,120,150,80,60,50,25
159,标准件,395,75,100,25,35,50,8
164,标准件,0,105,100,25,35,50,8
54,标准件,355,80,120,30,40,60,12
268,定向件,55,140,120,40,40,60,18
290,定向件,335,120,150,40,40,60,18
16,标准件,25,120,120,30,40,60,12
87,标准件,0,140,100,25,35,50,8
32,标准件,25,160,120,30,40,60,12
142,标准件,0,175,100,25,35,50,8
26,标准件,375,120,150,30,40,60,12
71,标准件,335,160,150,30,40,60,12
2,标准件,365,160,150,30,40,60,12
59,标准件,55,0,170,30,60,40,12
78,标准件,85,0,170,30,60,40,12
126,标准件,95,175,100,25,35,50,8
94,标准件,120,175,100,25,35,50,8
138,标准件,145,175,100,25,35,50,8
121,标准件,395,0,110,25,35,50,8
114,标准件,0,0,150,25,35,50,8
69,标准件,135,40,170,30,60,40,12
111,标准件,0,35,150,25,35,50,8
150,标准件,395,40,150,25,35,50,8
58,标准件,165,40,170,30,60,40,12
86,标准件,0,70,150,25,35,50,8
177,标准件,395,75,150,25,35,50,8
179,标准件,0,105,150,25,35,50,8
27,标准件,195,40,170,30,60,40,12
68,标准件,355,90,0,40,30,60,12
43,标准件,175,180,0,40,30,60,12
95,标准件,0,140,150,25,35,50,8
7,标准件,215,180,0,40,30,60,12
66,标准件,255,180,0,40,30,60,12
175,标准件,395,160,150,25,35,50,8
70,标准件,295,180,0,40,30,60,12
136,标准件,0,175,150,25,35,50,8
20,标准件,335,180,0,40,30,60,12
115,标准件,95,175,150,25,35,50,8
149,标准件,120,175,150,25,35,50,8
75,标准件,375,180,0,40,30,60,12
55,标准件,355,90,60,40,30,60,12
123,标准件,145,175,150,25,35,50,8
91,标准件,395,0,160,25,35,50,8
103,标准件,25,0,180,25,50,35,8
130,标准件,315,0,180,25,50,35,8
132,标准件,340,0,180,25,50,35,8
47,标准件,175,180,60,40,30,60,12
52,标准件,215,180,60,40,30,60,12
12,标准件,255,180,60,40,30,60,12
35,标准件,295,180,60,40,30,60,12
171,标准件,365,0,180,25,50,35,8
176,标准件,25,50,180,25,50,35,8
24,标准件,335,180,60,40,30,60,12
173,标准件,315,50,180,25,50,35,8
39,标准件,375,180,60,40,30,60,12
13,标准件,55,180,120,40,30,60,12
119,标准件,340,50,180,25,50,35,8
167,标准件,365,50,180,25,50,35,8
36,标准件,175,180,120,40,30,60,12
61,标准件,215,180,120,40,30,60,12
38,标准件,255,180,120,40,30,60,12
145,标准件,55,60,180,25,50,35,8
134,标准件,80,60,180,25,50,35,8
30,标准件,295,180,120,40,30,60,12
6,标准件,55,110,180,40,60,30,12
143,标准件,105,60,180,25,50,35,8
151,标准件,25,100,180,25,50,35,8
122,标准件,25,150,180,25,50,35,8
174,标准件,135,0,180,50,25,35,8
109,标准件,185,0,180,50,25,35,8
154,标准件,175,180,180,50,25,35,8
139,标准件,225,180,180,50,25,35,8
156,标准件,275,180,180,50,25,35,8
# 空间利用率: 85.99%, 载重利用率: 41.75%
