车辆编号,车型,货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
1,2,271,定向件,80,190,60,40,40,60,18
1,2,154,标准件,185,70,50,25,35,50,8
1,2,44,标准件,555,180,60,30,40,60,12
1,2,81,标准件,595,70,50,25,35,50,8
1,2,137,标准件,365,100,50,25,35,50,8
1,2,165,标准件,420,100,50,25,35,50,8
1,2,231,定向件,210,50,110,80,60,50,25
1,2,21,标准件,0,200,60,30,40,60,12
1,2,292,定向件,30,200,60,40,40,60,18
1,2,289,定向件,315,0,100,40,40,60,18
1,2,53,标准件,555,0,100,30,40,60,12
1,2,280,定向件,515,60,110,40,40,60,18
1,2,52,标准件,585,0,100,30,40,60,12
1,2,217,定向件,475,110,110,80,60,50,25
1,2,268,定向件,475,170,110,40,40,60,18
1,2,194,易碎件,145,170,120,50,40,70,15
1,2,248,定向件,315,175,110,80,60,50,25
1,2,234,定向件,130,0,120,80,60,50,25
1,2,177,标准件,0,105,50,25,35,50,8
1,2,259,定向件,515,170,110,40,40,60,18
1,2,10,标准件,315,40,100,30,40,60,12
1,2,89,标准件,185,105,50,25,35,50,8
1,2,17,标准件,555,40,100,30,40,60,12
1,2,56,标准件,585,40,100,30,40,60,12
1,2,179,标准件,595,105,50,25,35,50,8
1,2,181,易碎件,555,0,160,40,50,70,15
1,2,123,标准件,365,135,50,25,35,50,8
1,2,132,标准件,420,135,50,25,35,50,8
1,2,60,标准件,475,60,100,30,40,60,12
1,2,166,标准件,120,140,50,25,35,50,8
1,2,131,标准件,250,140,50,25,35,50,8
1,2,155,标准件,120,175,50,25,35,50,8
1,2,282,定向件,585,180,110,40,40,60,18
1,2,178,标准件,290,180,50,25,35,50,8
1,2,240,定向件,395,175,120,80,60,50,25
1,2,174,标准件,120,210,50,25,35,50,8
1,2,0,标准件,80,140,100,30,40,60,12
1,2,270,定向件,75,0,120,40,40,60,18
1,2,283,定向件,275,0,120,40,40,60,18
1,2,263,定向件,365,0,120,40,40,60,18
1,2,135,标准件,185,210,50,25,35,50,8
1,2,113,标准件,290,50,60,25,35,50,8
1,2,253,定向件,405,0,120,40,40,60,18
1,2,119,标准件,290,85,60,25,35,50,8
1,2,41,标准件,110,140,100,30,40,60,12
1,2,66,标准件,210,110,110,30,40,60,12
1,2,93,标准件,390,140,60,25,35,50,8
1,2,291,定向件,620,0,120,40,40,60,18
1,2,15,标准件,240,110,110,30,40,60,12
1,2,126,标准件,145,210,60,25,35,50,8
1,2,224,定向件,475,0,150,80,60,50,25
1,2,104,标准件,0,0,100,25,35,50,8
1,2,238,定向件,25,40,150,80,60,50,25
1,2,295,定向件,130,60,120,40,40,60,18
1,2,260,定向件,315,85,120,40,40,60,18
1,2,284,定向件,25,100,120,40,40,60,18
1,2,230,定向件,365,40,150,80,60,50,25
1,2,170,标准件,250,0,100,25,35,50,8
1,2,98,标准件,0,35,100,25,35,50,8
1,2,275,定向件,65,100,120,40,40,60,18
1,2,26,标准件,210,0,120,30,40,60,12
1,2,264,定向件,390,100,120,40,40,60,18
1,2,122,标准件,105,40,100,25,35,50,8
1,2,79,标准件,445,0,120,30,40,60,12
1,2,227,定向件,0,140,150,80,60,50,25
1,2,212,定向件,210,180,150,80,60,50,25
1,2,151,标准件,0,70,100,25,35,50,8
1,2,46,标准件,445,40,120,30,40,60,12
1,2,128,标准件,185,70,100,25,35,50,8
1,2,37,标准件,445,80,120,30,40,60,12
1,2,210,定向件,210,50,160,80,60,50,25
1,2,116,标准件,105,75,100,25,35,50,8
1,2,285,定向件,555,100,120,40,40,60,18
1,2,220,定向件,475,110,160,80,60,50,25
1,2,161,标准件,365,100,100,25,35,50,8
1,2,29,标准件,130,100,120,30,40,60,12
1,2,4,标准件,275,120,120,30,40,60,12
1,2,34,标准件,445,120,120,30,40,60,12
1,2,49,标准件,315,125,120,30,40,60,12
1,2,143,标准件,0,105,100,25,35,50,8
1,2,190,易碎件,80,140,160,50,40,70,15
1,2,103,标准件,185,105,100,25,35,50,8
1,2,241,定向件,315,175,160,80,60,50,25
1,2,121,标准件,595,105,100,25,35,50,8
1,2,247,定向件,130,0,170,80,60,50,25
1,2,69,标准件,605,140,120,30,40,60,12
1,2,169,标准件,365,135,100,25,35,50,8
1,2,32,标准件,635,140,120,30,40,60,12
1,2,51,标准件,555,180,120,30,40,60,12
1,2,168,标准件,290,180,100,25,35,50,8
1,2,105,标准件,120,210,100,25,35,50,8
1,2,207,易碎件,210,110,170,50,40,70,15
1,2,256,定向件,635,180,120,40,40,60,18
1,2,114,标准件,185,210,100,25,35,50,8
1,2,100,标准件,290,50,110,25,35,50,8
1,2,72,标准件,80,190,120,30,40,60,12
1,2,33,标准件,0,200,120,30,40,60,12
1,2,3,标准件,30,200,120,30,40,60,12
1,2,91,标准件,290,85,110,25,35,50,8
1,2,134,标准件,390,140,110,25,35,50,8
1,2,65,标准件,315,0,160,30,40,60,12
1,2,130,标准件,415,140,110,25,35,50,8
1,2,279,定向件,315,40,160,40,40,60,18
1,2,20,标准件,555,50,160,30,40,60,12
1,2,244,定向件,475,170,170,80,60,50,25
1,2,146,标准件,145,210,110,25,35,50,8
1,2,158,标准件,475,210,110,25,35,50,8
1,2,107,标准件,500,210,110,25,35,50,8
1,2,110,标准件,525,210,110,25,35,50,8
1,2,218,定向件,395,175,170,80,60,50,25
1,2,8,标准件,585,50,160,30,40,60,12
1,2,127,标准件,160,100,120,25,35,50,8
1,2,223,定向件,130,60,180,80,60,50,25
1,2,173,标准件,160,135,120,25,35,50,8
1,2,144,标准件,0,0,150,25,35,50,8
1,2,61,标准件,615,50,160,30,40,60,12
1,2,28,标准件,645,50,160,30,40,60,12
1,2,140,标准件,250,0,150,25,35,50,8
1,2,213,定向件,390,100,180,80,60,50,25
1,2,243,定向件,555,100,180,80,60,50,25
1,2,138,标准件,0,35,150,25,35,50,8
1,2,25,标准件,475,60,160,30,40,60,12
1,2,1,标准件,645,90,160,30,40,60,12
2,2,183,易碎件,0,0,0,40,50,70,15
2,2,185,易碎件,40,0,0,40,50,70,15
2,2,203,易碎件,80,0,0,40,50,70,15
2,2,205,易碎件,120,0,0,40,50,70,15
2,2,186,易碎件,160,0,0,40,50,70,15
2,2,209,易碎件,200,0,0,40,50,70,15
2,2,187,易碎件,240,0,0,40,50,70,15
2,2,202,易碎件,280,0,0,40,50,70,15
2,2,196,易碎件,320,0,0,40,50,70,15
2,2,200,易碎件,360,0,0,40,50,70,15
2,2,192,易碎件,400,0,0,40,50,70,15
2,2,229,定向件,440,0,0,80,60,50,25
2,2,232,定向件,520,0,0,80,60,50,25
# 汇总:
# 车辆1 (车型2): 空间利用率 64.14%, 载重利用率 38.95%
# 车辆2 (车型2): 空间利用率 4.85%, 载重利用率 2.15%
# 总车辆: 2 (车型1:0, 车型2:2)
# 总成本: 1400.00 元, 总件数: 300/300
